,code,stock,concept,cause,thing,url,explain,title,dt,Unnamed: 0
10,sz002739,万达电影,人工智能,影视影音+影院+文化传媒,"OpenAI下调模型价格。
券商研报称寻找中国的Glean，企业知识库管理是大模型B端落地明。",2e8a4tls1m,"1、2023年6月26日公告称，将于近日开展“万达电影2023年股东回馈”活动，活动时间为2023年7月3日9:30至2023年7月12日24:00，为期10天。持有500股以上股东提供1元观影券礼包等优惠。,2、公司是国内领先的影院投资及运营商，公司所经营的广告业务主要包括屏幕广告和阵地广告；公司主要通过投资、制作电影，取得影片的票房分账收益和衍生收入，并获得利润。,3、公司目前的电影片单类型丰富，包括鬼吹灯系列的《天星术》、《寻龙诀2》；科幻玄幻力作《外太空的莫扎特》、《神舟》等；延续公司悬疑题材优势的《误杀2》；青春题材的《人间告白》等,4、公司参与投资制作的《皮皮鲁与鲁西西之罐头小人》《我和我的父辈》已上映；公司也已打造出“朕要看电影”、“爆米花节”、“百日观影节”和“IMAX大片季”四大年度自有大型品牌活动；公司的实景娱乐项目“侏罗纪世界：电影特展”采取轻资产模式，已先后在成都、广州和上海落地3个项目。",06月27日万达电影股票异动解析,2023-06-27,
11,sz002261,拓维信息,人工智能,华为昇腾+英伟达+算力+AI服务器,"OpenAI下调模型价格。
券商研报称寻找中国的Glean，企业知识库管理是大模型B端落地明。",907yl9ml5k,"1、华为开发者大会2023将于7月7日在东莞举办，将发布一款直接对标ChatGPT的多模态千亿级大模型产品。公司是华为“鲲鹏\u002F昇腾”战略伙伴，昇腾AI服务器出货量第一。公司兆瀚信创超融合一体机基于兆瀚国产自主服务器算力底座，为数字化转型的各类系统、平台以及数据中心建设提供信创构建服务。,2、2023年6月7日盘前互动，公司生产的AI服务器支持英伟达GPU的运行，公司部分AI产品已使用液冷技术。,3、子公司湘江鲲鹏拥有华为晟腾整机伙伴授权，先后发布AI推理、智能边缘等数十款AI产品，并携手华为参与全国各地的人工智能计算中心建设，产品已应用至长沙人工智能创新中心、中国联通等需要大算力、大模型的项目之中。,4、公司主营业务为以教育服务为主航道，以软件云服务和移动游戏业务为两翼协同发展。",06月27日拓维信息股票异动解析,2023-06-27,
12,sh600482,中国动力,船舶,中船系+军工+燃气轮机,造船企业前五个月新船订单同比增长48.3% 行业景气将持续改善,2e8a4tus4c,"1、公司实控人是国资委下属中国船舶工业集团。,2、公司主要业务涵盖燃气动力、蒸汽动力、柴油机动力等七类动力业务及机电配套业务，为集高端动力装备研发、制造、系统集成、销售及服务于一体的一站式动力需求解决方案供应商。2023年1-5月新签增速40%-50%，5月末手持订单250亿（22年发动机收入130亿），目前排单到2025年。,3、在军用领域，公司承担了我国海军现役及在研的绝大部分电力推进装置的研制供货任务，是国内实力最强、产品线最完整的船舶电力推进系统供应商。,4、公司作为国内电力推进系统的领先供应商，率先在新疆等地提供新能源电动船舶，共计提供近百套新能源电动船舶动力系统，国内市场占有率第一。公司占据船舶发动机领域60%以上份额，发动机价值量占船舶价值量的20%多。",06月27日中国动力股票异动解析,2023-06-27,
13,sh600072,中船科技,船舶,船用设备+一带一路+央企,造船企业前五个月新船订单同比增长48.3% 行业景气将持续改善,2e8a4tuzce,"1、船协口径2023年1-5月全球新造船订单向好，新接单持续高于过去五年均值。公司属中国船舶旗下，主要从事船用设备、工程总承包等。,2、公司实控人为国资委。全资子公司中船九院从事工程设计、勘察、咨询及监理、工程总承包、土地整理服务等业务；中船集团研制的产品几乎涵盖了我国海军所有主战舰艇和军辅船装备。,3、2023年3月3日公告，拟收购风电资产估值上升约4亿元，收购价不变。拟收购的中国海装于2023年1月下线18MW海风机组，速度为国内最快，有望在海风降本竞争中占据优势。,4、公司2022年度的主营业务涉及沙特阿拉伯、阿尔及利亚、泰国等地。",06月27日中船科技股票异动解析,2023-06-27,
14,sz002553,南方精工,其他,人形机器人+行星减速器+RV减速机轴承+车载MCU芯片,,2e8a4tmg1j,"1、2023年6月19日互动，在人形机器人领域，目前公司和国内头部两家减速机厂商合作开发新型减速机；相关样品已送至美国特斯拉，试验结果良好，获得较高认可。公司正在开发的柔性轴承，行星滚柱丝杠等产品几乎属于国内空白，且在人形机器人领域有大量的需求。,2、公司生产工业机器人上的rv减速机轴承，高压开关控制器上的离合器，无人机上的离合器，应用于新能源车上的轴承等产品。RV减速机用轴承已通过浙江双环传动审核并开始量产。,3、子公司上海圳呈研发的TWS芯片流片成功。公司规划的MCU产品定位比较领先的32位产品，产品方向将首先将车载语音、音响娱乐系统作为切入点。,4、公司产品包括滚针轴承、单向轴承等，已涵盖燃油乘用车、新能源车等多个领域，向比亚迪、等供货。",06月27日南方精工股票异动解析,2023-06-27,
15,sz002527,新时达,机器人,机器人+新能源汽车,"2023年6月20日消息，天眼查App显示，近日，东莞极目机器有限公司成立，注册资本8.7亿元人民币，由华为技术有限公司全资持股。
日前，华为公布了一项新的聊天机器人专利，名为“一种人机对话的系统和方法”，申请号为CN113505205A。",dy621ep5qf,"1、2023年6月14日网传特斯拉机器人腿部减速器模组方案变更，行星减速器（成本300-500元）可能取代谐波减速器（成本1000-2000元）。公司行星减速器已量产，配套其伺服系统作为自动化设备执行机构使用。,2、2023年6月14日盘后互动易回复，公司主要业务分为机器人业务、控制与驱动业务、电梯控制器业务。公司是为数不多通过控制器切入机器人本体的厂家。,3、公司的智能制造业务已涉及新能源汽车白车身产线业务，公司可为新能源汽车大巴电动空调提供整套电控驱动解决方案。公司开发多款氢燃料高速电机控制器、燃料电池用DCDC、高密度DC\\DC二代电源等产品。",06月26日新时达股票异动解析,2023-06-26,
16,sz000600,建投能源,电力,电力+储能,各地持续高温加大电力系统压力，电力市场化改革为确定性趋势,ca64xk89p8,"1、公司主营业务为投资、建设、运营管理以电力生产为主的能源项目，电力业务以燃煤火力发电和供热为主，同时涉及核电、风电、水电、太阳能发电等新能源项目投资。,2、2023年4月公司投资新设河北建投储能，经营范围包含储能技术服务；新材料技术研发；新兴能源技术研发等。,3、公司拥有控股供热公司4家，参股供热公司2家。公司参控股发电机组均为河北区域电网的重要电源支撑，装机容量占河北南部电网统调煤电装机的25.29%，占河北北部20.1%。,4、公司与广西联储新材料探讨新能源和储能产业方向合作。后者拥有钒矿山资源，布局矿山开采、冶炼提钒、钒电解液大规模生产等项目，在全钒液流电池产业化中具备资源和技术优势。",06月26日建投能源股票异动解析,2023-06-26,
17,sh600310,桂东电力,电力,拟更名+广西能源系+风电,各地持续高温加大电力系统压力，电力市场化改革为确定性趋势,906apu7m7b,"1、2023年6月21日晚公告，公司名称已由“广西桂东电力公司”变更为“广西能源公司”。公司拟将证券简称由“桂东电力”变更为“广西能源”。,2、2023年5月11日公告，广投能源发出要约公司股份，本次交易完成后，广投能源合计持有公司50.99%的股权，进而构成对公司的间接收购。公司隶属广西国资委，此次调整部分投资者认为或开启广西能源系资源整合的预期。,3、2023年5月16日公告，公司2个风电场项目获准列入23年第一批新能源项目建设方案，获400兆瓦风电项目建设指标。目前公司光伏发电装机容量已达2万千瓦，控股90%的子公司陕西常兴公司完成光伏发电量0.21亿千瓦时，同比+7.05%。,4、公司主营业务为电力生产销售和油品业务，主要服务为电力销售、发电、油品销售、电力设计咨询。,5、公司是全国水利系统地电行业中厂网合一、网架覆盖面最宽最完整、唯一以110KV输电线路环网运行、拥有完整统一的发供电一体化体系，电网内发供电相互配套的地方电力企业。",06月26日桂东电力股票异动解析,2023-06-26,
18,sz002519,银河电子,其他,储能+半导体设备+军工装备+工业机器人,,an67tpsdm2,"1、2023年5月23日接受调研表示，公司储能主要产品包括小型工商业储能和户储业务，部分产品已完成开发，预计下半年将投放市场推广。,2、公司轻量化精密结构件涵盖新能源电动汽车动力电池箱、光伏逆变器、储能系统等领域客户包括阳光电源、宁德时代、天合储能等。微电网领域已有微网控制器、智能网关相关成熟产品处于市场推广阶段。,3、公司布局CVD喷淋头、半导体设备腔体、抛光垫等，其业务与半导体靶材业务具有相同客户群和相似的技术基础。客户有北方华创、沈阳拓荆等头部半导体企业。,4、公司主营以军工装备为主的智能机电、新能源电动汽车关键部件及数字电视智能终端三大业务",06月26日银河电子股票异动解析,2023-06-26,
19,sz002892,科力尔,机器人,机器人+华为+新能源电机+智能家居,"2023年6月20日消息，天眼查App显示，近日，东莞极目机器有限公司成立，注册资本8.7亿元人民币，由华为技术有限公司全资持股。
日前，华为公布了一项新的聊天机器人专利，名为“一种人机对话的系统和方法”，申请号为CN113505205A。",2dyembqx8m,"1、2023年6月220日消息，华为在东莞成立极目机器人公司。公司产品包括伺服系统、步进电机、直流无刷电机和精密泵等，在伺服系统等领域实现了重大的技术突破并成为华为的供应商，广泛应用于机器人与工业自动化、锂电池设备、光伏设备和新能源汽车等多个领域。公司的伺服电机系统能实现进口替代。,2、公司的汽车电机事业部的相关产品有应用于新能源汽车。,3、公司专注于电机与智能驱控技术的开发、生产与销售，致力于成为全球顶尖的电机与智能驱控技术提供商，产品广泛应用于智能家居、办公自动化、新能源汽车等多个领域。,4、公司智能家居类产品：广泛应用于烤箱、冰箱、换气扇等。健康与护理类产品：广泛应用于医疗雾化器、电吹风等；运动控制类产品：广泛应用于3D打印机、安防监控等领域。外销占比53.29%。",06月21日科力尔股票异动解析,2023-06-21,
20,sh688700,东威科技,复合铜箔,复合铜箔电镀设备+光伏+半导体设备,2023年6月20日盘后双星新材pet铜箔获订单。,amy06pajzc,"1、消息面上，2023年6月20日盘后双星新材pet铜箔获订单，产业持续前行。2023年5月9日东威科技交流确认宝明PP膜进展顺利，短期内机构认为PP+湿法路线一旦跑通有望在众多设备+材料路线中成为主流技术路线。东威科技复合铜箔电镀设备2023年开始批量确认，毛利率达49.85%，有望在2023年成为公司最大增长极。复合铜箔电镀设备2022全年确认收入1.46亿，16台(2021年同期仅1台)，均价为913.25万\u002F台。,2、2023年4月公司表示光伏镀铜设备第二代设备已经客户验收确认收入，第三代设备处于制造中，也与客户签订了协议，预计于今年7月底左右交货。,3、公司的Msap移载式VCP设备主要应用于高端半导体。已通过客户中试，并与多家客户签订合同，正在量产中。,4、公司主要从事高端精密电镀设备及其配套设备的研发、设计、生产及销售。公司PCB设备已销售至德国等欧美、东南亚国家及地区。",06月21日东威科技股票异动解析,2023-06-21,
21,sh603118,共进股份,人工智能,800G交换机+光模块+传感器封测+5G,"OpenAI下调模型价格。
券商研报称寻找中国的Glean，企业知识库管理是大模型B端落地明。",fkxrj9rxd9,"1、券商研报称，本质上交换机和光模块量能配套，与光模块增量逻辑同理，所以交换机算是国内算力的核心受益品种。网传信息目前 400G 交换机已经出货，800G 交换机产品顺利推进。目前主要客户是新华三、锐捷。,2、公司于2020年通过全资子公司深圳市共进投资管理公司投资参股山东华云光电技术公司，华云光电致力于光模块的研发、生产及销售。,3、2022年公司表示传感器封测业务在手订单约700万左右；公司传感器封测业务以封装测试为主。,4、公司为华为供应商，主流产品覆盖运营商，F5G以10GPON、WIFI6、200G\u002F400G等技术为代表的第五代固定网络。,5、公司是国内大型宽带通信终端制造商，主营宽带通信终端设备、移动通信和通信应用设备的研发、生产和销售。2022年共进股份拟斥1.5亿元设苏州微电子加强传感器产业的布局。",06月21日共进股份股票异动解析,2023-06-21,
22,sz002514,宝馨科技,其他,钙钛矿+光伏\u002F储能+TOPCon设备,,41ybr7b2re,"1、2022年9月20日公告，拟与张春福教授、朱卫东副教授、大禹实业就“HJT-钙钛矿叠层、钙钛矿电池”产业化达成合作意向，成立合资公司。业绩要求：公司注册后半年内实验级产品开发；两年半内完成100MW产线建设；四年半内完成GW级稳定量产产线建设，在异质结基底25%转换效率基础之上，叠层电池产品增加15%及以上的转换效率。,2、2022年11月15日公告，公司拟18.6亿元在内蒙古鄂尔多斯建设2GW薄片化切片生产线、2GW光伏异质结电池、2GW光伏异质结组件项目，项目建设期限为2023年4月至2024年4月。,3、公司目前的光伏制程设备、重卡换电设备，包括光伏湿制程设备以及金属化电镀设备中试出货、量产试制，重卡换电车载设备和换电站设备。,4、公司是太阳能晶硅电池片湿化学设备产商，并成功应用在多家知名客户的关键生产工序上。公司的蓄热调峰储能技术是最低成本的电网储能技术。",06月21日宝馨科技股票异动解析,2023-06-21,
23,sh600509,天富能源,其他,源网荷储一体化+绿色电力+碳化硅晶体+天然气,,41ybr7b9n7,"1、2023年6月14日，公司提出建设城市级源网荷储一体化，计划投资超700亿元，资本金回报率约6.81%，由天富能源电网统一管理。计划十四五内完成建设9GW光伏、4*66万千瓦火电。,2、全资子公司新疆天富金阳主营太阳能、风能等新能源系列工程的设计、建设、安装及总承包。2022年兵团北疆石河子100万千瓦光伏基地项目已开工建设，公司投建其中40万千瓦光伏发电项目，预计2023年四季度，40万千瓦光伏项目全容量并网发电。,3、2022年宁德时代投资天富能源旗下子公司天科合达，该公司主营第三代半导体材料-碳化硅晶片及相关产品研产销。,4、全资子公司新疆天富天源拥有石河子管道燃气业务的独家特许经营权，同时经营车用天然气和工商业用气的供应。,5、公司主要为新疆石河子地区提供电、热、天然气等能源服务，三大主业在石河子地区处于天然垄断地位。",06月21日天富能源股票异动解析,2023-06-21,
24,sh603108,润达医疗,人工智能,AI医疗+华为合作,"OpenAI下调模型价格。
券商研报称寻找中国的Glean，企业知识库管理是大模型B端落地明。",5pwm1er07j,"1、微软研究人员近日展示LLaVA-Med模型，该模型主要用于生物医学方面研究，可根据CT、X光图片等信息，推测患者病理状况。,2、2023年6月6日盘后，公司与华为云签署全面战略合作协议，双方将基于华为云平台打造面向医疗领域的AI大模型，实现智慧医疗服务。,3、子公司润达榕嘉的三款猴痘病毒检测产品均通过欧盟CE认证，可在欧盟国家以及认可欧盟CE认证的国家进行销售。,4、公司研发的AI慧检系统，具备数据领域应用先发优势，且AI检验科化验单标准程度高，清洗成本较低。2022年公司AI检验科在20家医院落地，券商预计2023年将铺设医院50~100家。,5、公司新一代糖化血红蛋白仪MQ-8000正式上市推广，开发独有专利技术“谱易快”液液萃取小柱和“谱方达”全自动处理系统的临床质谱仪。",06月20日润达医疗股票异动解析,2023-06-20,
25,sh600570,恒生电子,人工智能,金融IT+国产软件,"OpenAI下调模型价格。
券商研报称寻找中国的Glean，企业知识库管理是大模型B端落地明。",8zwf95ravj,"1、唯一拥有全牌照的金融IT企业龙头，中国最大的金融系统提供商，在证券、资管与财富管理和银行理财市场拥有44%、88%、75%的市占率。,2、公司与阿里云合作推出了通义千问大模型联合解决方案，公司及子公司恒生聚源已宣布接入“文心一言”，公司的大模型预计将迎来关键节点，预计6月底。,3、公司将探索生成式AI技术与金融核心业务场景的应用融合。,4、公司是国内领先的金融科技产品与服务提供商，聚焦金融行业，主要面向证券、期货、公募等客户提供一站式金融科技解决方案。,5、公司证券经纪IT业务主要服务的客户对象为券商经纪业务部门，核心产品为集中交易系统，主要功能为提供账户管理、资金清算结算等。",06月20日恒生电子股票异动解析,2023-06-20,
26,sz300494,盛天网络,人工智能,云游戏+游戏IP+带带平台,"OpenAI下调模型价格。
券商研报称寻找中国的Glean，企业知识库管理是大模型B端落地明。",amwcd17h4n,"1、AIGC将有望成为内容创新发展的新引擎，未来关注相关应用场景和商业模式变化，公司是国内领先的场景化互联网平台，围绕多个场景构建了包含平台、内容、服务的一体化运营体系，发展出互联网营销、游戏运营与发行、IP运营三大主营业务。盛天云游戏服务平台正在搭建更多的边缘算力节点，已在近100个城市\u002F地区落地。,2、在AI方面，公司当前主要是在带带电竞平台上使用相关技术，目前带带平台已上线了声鉴玩法。,3、公司引入了《轩辕剑》《仙剑奇侠传》《大富翁》等系列授权产品。公司及子公司天戏互娱拥有一系列的优质游戏IP，包括《生死格斗5》《三国志11》《大航海时代4》《真三国无双8》等。,4、公司目前锁定了几家VR设备厂商，正在积极的测试与选型。后期计划精选线下网吧，在网吧中开辟元宇宙体验专区，联合行业伙伴进行设备和内容的引入，助推元宇宙相关内容和产品落地。",06月20日盛天网络股票异动解析,2023-06-20,
27,sh603662,柯力传感,机器人,力控传感器+应变式传感器+物联网,2023年7月，“傅利叶智能通用机器人战略发布会”将在上海举行。届时，该公司最新研发成果——通用人形机器人GR-1将首次与公众见面。,2dwstpsef1,"1、机构研究称根据近期UCLA Zhu.Taoyuanmin的博士论文，人形机器人跟踪三大增量：传动方式+行星减速机+IMU。,2、特斯拉机器人演示的脚踩鸡蛋的演示，强调了力控传感器的重要性；公司正积极拓展微型测力传感器（用于3C设备和仿真机器人骨骼），力矩传感器已有出货，多个型号正在小批量验证试制。,3、公司应变式传感器国内市占率第一，子公司柯轩智能自主生产的3D机器视觉和深度AI学习系统，可应用在绝大多数柔性化自动生产线，公司工业机器人已有多款成熟产品量产供货，是国内最领先的公司之一，在协作机器人、自动上下料机器人、无序分拣机器人等领域有广泛的案例。公司储能、充电桩等领域的电量传感器业务持续增长。,4、公司坚持“力敏+其他物理量传感器+智能物流设备+工业物联网自动化设备+物联网平台企业”的五大投资方向，打造以“新老产品+子公司产品+平台产品+事业部产品”构成并融合的物联网产品矩阵。",06月20日柯力传感股票异动解析,2023-06-20,
28,sh603728,鸣志电器,机器人,空心杯电机+特斯拉机器人+光伏,2023年7月，“傅利叶智能通用机器人战略发布会”将在上海举行。届时，该公司最新研发成果——通用人形机器人GR-1将首次与公众见面。,7bwj5a9rgc,"1、公司空心杯电机设计&线圈工艺等均具备较高 know-how，产品已小批量应用于医疗、机器人等要求小体积、高功率密度、高转速的高端场合。,2、公司本身在美国具备AMP、Lin两大硅谷子公司，接近特斯拉总部，空心杯电机模组研发制造能力强，同时性价比优于Maxon、Faulhaber两大空心杯电机龙头，券商认为今年有望切入Tesla Bot手指关节模组，明年开始订单放量。,3、公司主营各类电机及其驱动产品，绑定以海内外龙头企业直销，其中海外收入以欧美为主，占比稳定在 40%+。,4、在光伏应用中，公司的电机驱动控制系统产品主要应用于太阳能光伏组件的自动化生产领域，跟踪支架应用很少。",06月20日鸣志电器股票异动解析,2023-06-20,
29,sz000837,秦川机床,机器人,RV减速器+新能源+国资+工业母机，,2023年7月，“傅利叶智能通用机器人战略发布会”将在上海举行。届时，该公司最新研发成果——通用人形机器人GR-1将首次与公众见面。,7bwj5a99nw,"1、2023年6月16日互动，公司生产的关节减速器目前主要应用在工业机器人领域，下游应用场景主要有焊接、打磨、码垛等。公司具备行星结构滚柱丝杆生产能力，可应用于人形机器人传动系统。,2、公司加速机器人减速器规模化生产及销售，公司RV减速机覆盖1-800KG系列，是国内最全覆盖厂商，当前在国内前十大厂均有送样\u002F应用。,3、公司丝杠导轨、齿轮等产品从2022年8月进入比亚迪供应体系，2023年预计新扩广汽等客户,4、公司立足机床工具行业，目标打造成高端装备制造领域的系统集成服务商和关键部件供应商，实控人为宝鸡国资。",06月20日秦川机床股票异动解析,2023-06-20,
